candidate,kernels_removed,extra_gpu_ops_removed,hbm_bytes_saved,measured_us,status,assumption,run,stage,cuda_graph,total_kernel_us,measured_chain_pct_kernel,wall_equivalent_hard_ceiling_pct
topk_plus_moe_alignment,44,0,5632000,1028.003,rejected_launch_only,top-k kernel also emits alignment metadata; topk_ids remain materialized,prefill_b4x4000_nograph,prefill,False,155206.995,0.6623,0.638
hoist_conv_metadata,17,34,1156,21.344,rejected_default_graph_or_tiny,"build query_start_loc and int32 cache indices once, not in 18 layers",prefill_b4x4000_nograph,prefill,False,155206.995,0.0138,0.0132
main_rmsnorm_into_consumers,49,0,6422528000,3054.697,rejected_impractical,conservative two activation-tensor passes removed per norm,prefill_b4x4000_nograph,prefill,False,155206.995,1.9681,1.8959
shortconv_gate_layout_fusion,54,0,7077888000,9698.397,candidate,"B*x, prefill layout copy, and C*conv_out move into causal_conv1d",prefill_b4x4000_graph,prefill,True,154730.349,6.2679,6.0295
fused_qk_layout_norm_rope,23,0,1965888000,5581.104,candidate,reuse existing fused kernel plus one hoisted int64-to-int32 positions cast,prefill_b4x4000_graph,prefill,True,154730.349,3.607,3.4698
moe_activation_in_down_gemm,22,0,10092544000,3410.028,candidate,down GEMM loads gate/up and applies SiLU*up in its input prologue,prefill_b4x4000_graph,prefill,True,154730.349,2.2039,2.12
moe_sum_plus_next_rmsnorm,22,0,2883584000,3050.282,candidate,"one kernel reduces top-4 outputs, adds residual, and computes RMSNorm",prefill_b4x4000_graph,prefill,True,154730.349,1.9714,1.8964
moe_sum_in_down_gemm,22,0,11534336000,1662.725,rejected_atomic_complexity,down GEMM atomically accumulates four weighted expert outputs per token,prefill_b4x4000_graph,prefill,True,154730.349,1.0746,1.0337
rope_plus_kv_store,6,0,196608000,98.656,low_ceiling,reuse existing fused_set_kv_buffer rotary call path,prefill_b4x4000_graph,prefill,True,154730.349,0.0638,0.0613
topk_plus_moe_alignment,44,0,5632000,1025.956,rejected_launch_only,top-k kernel also emits alignment metadata; topk_ids remain materialized,prefill_b4x4000_graph,prefill,True,154730.349,0.6631,0.6378
hoist_conv_metadata,17,34,1156,21.568,rejected_default_graph_or_tiny,"build query_start_loc and int32 cache indices once, not in 18 layers",prefill_b4x4000_graph,prefill,True,154730.349,0.0139,0.0134
main_rmsnorm_into_consumers,49,0,6422528000,3038.312,rejected_impractical,conservative two activation-tensor passes removed per norm,prefill_b4x4000_graph,prefill,True,154730.349,1.9636,1.8889
